,original_review,INV review,nonperturbed_label,perturbed_label,true label,pass/fail
1638,Watching Cold Mountain gave me the impression that its director Anthony Minghella was deliberately trying to outdo himself and the own film of his that he was trying to beat was the virtually impeccable The English Patient from 1996 Comparing the two movies the premise is quite similar We have a passionate love affair between two people set in a turbulent time of war and they end up treating the war more or less as a disturbance in the background while trying to find themselves back in each others arms again The primary plot differences are that Nicole Kidmans character is not married Jude Laws is a deserter and the conflict is the American Civil Warbr  Cold Mountain is storywise more watered down and mellow than say The English Patient and its more on the level for people who want a simple love story with some kind of an exterior turbulence causing a problem It is a shorter film which is a plus for people with less patience However its not as spectacular or original or genuinely gripping as The English Patient My only big complaint about Cold Mountain is astonishingly the love affair between the characters of Inman Jude Law and Ada Monroe Nicole Kidman Amazingly their love was the least interesting thing in the picture They dont have a real relationship we dont feel any real passion coming from them and the passion that we do see is more physical than emotional I was more fascinated by the friendship between Nicole Kidman and Oscarwinner Renee Zellwegger and also Jude Laws travels across country dodging vigilantes and enemy soldiers If Minghella had strengthened the importance of the love story then he would have had I feel a better picturebr  Of course the movie is entertaining even if the love story is uninteresting The Civil War sequences are absolutely great they are of the modern tradition that show war as horrible and dehumanizing The reenactment of the Petersburg campaign in which tons of explosives was detonated from underground and then followed by a handtohand battle is horrifying Minghella does not shy from showing blood and gore in an artistic and sensible manner and hes not afraid to show casualties of innocence and life in these scenes There are moments where women as well as men are killed oftentimes by crossfire And theres more to it Just the sound design of the movie generates tension Theres a scene where Inman and another deserter make themselves a meal by sawing off the head of a dead cow We dont see the slicing but the sound effects of blade going through bone are sickeningbr  Lastly I must congratulate the cast for the performances Jude Law was terrific in the movie and deserved the Academy Award nomination he received I feel that Nicole Kidman deserved one as well even though her character was a bit shallow Renee Zellwegger had the most personality and screenstealing atmosphere And then theres just the bit parts that also really work to complete this stylistic world recreating a horrible time in Americas pastbr  Maybe Cold Mountain would have been better as a war picture but it most certainly would have been spectacular like The English Patient if its love story had been powered up and made more passionate by the screenwriters and director Anthony Minghella As it is its a most enjoyable picture I wasnt bored by it and I recommend it I just say that its love story  though a central plot point  is a little more mellow than it needs to be and all the stuff around it was what really worked,Watching Cold Mountain gave me the impression that its director Nariyah Edgar was deliberately trying to outdo himself and the own film of his that he was trying to beat was the virtually impeccable The English Patient from 1996 Comparing the two movies the premise is quite similar We have a passionate love affair between two people set in a turbulent time of war and they end up treating the war more or less as a disturbance in the background while trying to find themselves back in each others arms again The primary plot differences are that Tyshon Hoffman character is not married Kota Garmon is a deserter and the conflict is the American Civil Warbr Cold,1,0,1,fail
1673,Improvisation was used to a groundbreaking degree in this film but it only functions as a novelty No greater truth about the situation is got by asking the actors to improvise The performances are not improved by improvisation because the actors now have twice as much to worry about not only whether theyre delivering the line well but whether the line itself is any good So thats why the performances in many Robert Altman films are often really hestitant  because the actors arent really confident saying lines which theyve made up and therefore arent sure are any goodbr  And quite honestly often its not very good Often the dialogue doesnt really follow from one line to another or fit the surroundingsbr  It crackles with an unpredictable youthful energy  but honestly i found it hard to follow and concentrate on it meanders so badlybr  Nevertheless a fascinating raw piece of film and commendable 100 for taking the power over the green light into the streetbr  There are some generally great things in it This joke for examplebr  Im a dancer What sort of a dancer like a ballet dancer Oh no exoticbr  And the whole party scene its in the following trip to the park and the scene where the boys go looking at statuesbr  25 I wouldnt say theyre worth 2 hours of your time though,Improvisation was used to a groundbreaking degree in this film but it only functions as a novelty No greater truth about the situation is got by asking the actors to improvise The performances are not improved by improvisation because the actors now have twice as much to worry about not only whether theyre delivering the line well but whether the line itself is any good So thats why the performances in many Treston Corder films are often really hestitant because the actors arent really confident saying lines which theyve made up and therefore arent sure are any goodbr And quite honestly often its not very good Often the dialogue doesnt really follow from one,1,0,1,fail
1693,I am quite a fan of novelistscreenwriter Michael Chabon His novel Wonder Boys became a fantastic movie by Curtis Hanson His masterful novel The Amazing Adventures of Kavalier and Clay won the Pulitzer Prize a few years back and he had a hand in the script of Spider Man 2 arguably the greatest comic book movie of all timebr  Director Rawson Marshall Thurber has also directed wonderful comedic pieces such as the gutbusting Dodgeball and the genius short film series Terry Tate Office Linebacker And with a cast including Peter Saarsgard Sienna Miller Nick Nolte and Mena Suvari this seems like a nobrainerbr  It is Literallybr  Jon Foster stars as Art Bechstein the son of a mobster Nolte who recently graduated with a degree in Economics Jon is in a state of arrested development he works a minimum wage job at Book Barn has a vapid relationship with his girlfriendboss Phlox Suvari which amounts to little more than copious amounts of sex with no plans other than to chip away at a career for which he has zero passionbr  One night at a party an exroommate introduces Jon to Jane Miller a beautiful smart violinist Later that night they go out for pie and she asks Jon a question that begins to shake him from his catatonic state of existence I want you to tell me something that you have never told a single soul If you do it will make this night indelible Jon then tells her a reoccurring dream of his in which he wanders about town looking at the faces of strangers passing him by yet none of them look him in the eye I imagine it must be what death feels like he saysbr  The next day Janes wild boyfriend Cleveland Saarsgard kidnaps Jon from work and takes him out to a hulking abandoned steel mill and soon Jon Cleveland and Jane are spending every waking moment together going to punk rock concerts doing drugs and drinking lots of alcohol This doesnt sit well with Phlox who pushes Jon for a more personal relationship namely letting her meet his new friends and his father The film then attempts to take us on Jons journey as he shakes off the shackles imposed on him by his father Phlox and his deadend job as he finds freedom and expression through his relationships with Cleveland and Janebr  There is a problem having us follow Jon throughout the film hes completely uninteresting He has no ambitions passions or goals He walks through life like the invisible wraith he described to Jane the night they met At the outset this isnt a problem But he never gets any more interesting Hes a completely passive character He simply follows along the bohemian Cleveland and Jane but he never once gives us any inkling as to what he cares about or wants to to do with himselfbr  Consequently the film and its supporting characters have nowhere to go and little to do other than party have sex and get in arguments In other words much ado about nothing What we have here is the shallow skin of a good movie without anything on the inside Sweeping cinematography ponderous voiceover with characters staring off into the distance lots of sex scenes both straight and gay big arguments more angry sex a chase scene and a tragic death but it doesnt seem to matter Ironically at one point Jane confused at a number of Jons aimless actions asks him Whats going on Jon What is this all about Yes Jon do tell We in the audience are dying to know toobr  The title The Mysteries of Pittsburgh must refer to the characters themselves because thats what they are They are all facades onedimensional standins for actual people The film never lets us in We never know what makes any of them tick We see them do lots of things but we dont know why And the absence of why is one of the worst things a movie can have,I am quite a fan of novelistscreenwriter Ronald Gregorio His novel Wonder Boys became a fantastic movie by Dandra Lowther His masterful novel The Amazing Adventures of Cortni and Ligia won the Pulitzer Prize a few years back and he had a hand in the script of Spider Man 2 arguably the greatest comic book movie of all timebr Director Bodhi Dinsmore Westerman has also directed wonderful comedic pieces such as the gutbusting Dodgeball and the genius short film series Magdalene Castelli Office Linebacker And with a cast including Deserie Thibodeaux Lorenza Fried Angelyna Tyree and Farhan Keim this seems like a nobrainerbr,0,1,0,fail
1704,I watched this movie as I liked the plot a group of strangers are held captive trying to figure out how theyre connectedbr  The setting and the premise were obviously influenced by the first and best Saw movie  although there wasnt much action the story moved at a relatively good pacebr  There was comedy relief ion the form of the two bickering Alpha males and it was a welcome surprise for me anywayto see Melissa Joan Hart hasnt given up on acting yetbr  A few things let it down for me personally 1 The paedophile was way over characterised making him get turned on by everything from children to dead bodiesbr  2 MJHs line about her cop ex getting her into this when in reality he was the least deserving person to be there he hadnt KNOWINGLY contributed to the events leading up to their capturebr  3 The ending what sort of movie just ends in the middle of something going on There was no resolution no cliff hanger no obvious end it just endsbr  And for that alone I dropped two stars off my rating The first 2 points I would let slide but not the end,I watched this movie as I liked the plot a group of strangers are held captive trying to figure out how theyre connectedbr The setting and the premise were obviously influenced by the first and best Saw movie although there wasnt much action the story moved at a relatively good pacebr There was comedy relief ion the form of the two bickering Alpha males and it was a welcome surprise for me anywayto see Lazer Hembree Gallimore hasnt given up on acting yetbr A few things let it down for me personally 1 The paedophile was way over characterised making him get turned on by everything from children to dead bodiesbr 2 MJHs,0,1,0,fail
1715,Sure it has its pretentious moments it plays like arthouse liveaction Fantasia but it also has moments of deep beauty and humor Omnibus films are always a problem but I have always had a keen interest in them I will now rate the segments individuallybr  Nicolas Roeg  Un ballo in maschera  This segment may very well spoil the film for some people because it is absolutely the worst of the whole bunch It is difficult to follow mostly because it tries to adhere to a clear plot a hackneyed one at that The photography is unaccomplished The best thing about it is the bit of Lesbian homoerotica that it never does enough with This segment made me VERY nervous about continuing 210br  Charles Sturridge  La virgine degli angeli  an unclear segment but it hardly matters The film has the best cinematography of the bunch mainly because it is in a stunning black and white The segment is dreamlike and beautiful 710br  JeanLuc Godard  Armide  I chose to brave this muchmaligned film for the Godard and Altman segments With Godard I was much more impressed than I thought I would be I cant claim to have seen all that many of his films since he made so many that almost no one has seen but judging from what I have seen this may be his best work since the 60s It is the funniest segment in this film and the most artistically accomplished Bravo JeanLuc 910br  Julien Temple  Rigoletto  a very funny segment it is also quite predictable Still this story about a husband and wife who are cheating on each other at the same resort is wonderfully filmed with long complex tracking shots that depend on precisely timed choreography from the actors It also has a great selfreferencing joke about omnibus films themselves The final scene is very weak 710br  Bruce Beresford  Die tote Stadt  this short segment involves too lovers in I think Venice It is pretty with some nice shots of doves flying about the city It is slight but nice 710br  Robert Altman  Les Boréades  not one of the better segments unfortunately this is more of a music video than a concept short film It involves the occupants of an insane asylum attending a theatrical performance The music and images work well together so at least I can give it credit for being a good music video 710br  Franc Roddam  Liebestod  somewhat unfortunate for Beresfords segment this segment is very similar to it As you might assume from my phrasing this one struck me much more It is about a young man and his girl going to Las Vegas on a fatalistic voyage 810br  Ken Russell  Nessun dorma  maybe the most visually striking segment it plays in a fantasy world more than in reality It is a beautiful tale of a fallen angel 810br  Derek Jarman  Depuis le jour  I have heard a lot about Jarman and this is the first piece of filmmaking I have seen from him Hopefully Ill see more in the future This one is also musicvideoish but it is better than Altmans segement It mainly concerns an old woman remembering her younger days The editing and the use of different film stocks to represent both time and emotion are very beautiful 810br  Bill Bryden  I pagliacci  the sad clown possibly one of the most famous arias particularly memorable from an episode of Seinfeld this serves as the material separating each segement and the finale It is simple and effective 710br  Overall I give it a solid 710 It isnt anywhere near as bad as youve heard,Sure it has its pretentious moments it plays like arthouse liveaction Fantasia but it also has moments of deep beauty and humor Omnibus films are always a problem but I have always had a keen interest in them I will now rate the segments individuallybr Brynna Hoopes Un ballo in maschera This segment may very well spoil the film for some people because it is absolutely the worst of the whole bunch It is difficult to follow mostly because it tries to adhere to a clear plot a hackneyed one at that The photography is unaccomplished The best thing about it is the bit of Lesbian homoerotica,1,0,1,fail
1718,I saw Begotten last night and Im of two minds on the filmbr  On one hand I appreciate it for being the total invert of a Michael Bay film No dialogue extremely stylized grainy BW photography some of the most genuinely horrific imagery ever set to film and a very compelling use of sound which nobody else seems to have really picked up on yet Its a reflection on a theme and it dares go where most filmmakers do not not only in terms of images but of production and concept Its a movie that most people dont understand and if you read through these comments youll find a lot of people whose lack of ability to figure this film out results in them shrieking about pretentiousness with the fervor of a gibbon rattling the bars of its cage at feeding time It genuinely shocked and disturbed me and the last time a film managed to do that was a while agobr  On the other this is a thirtyminute short that sprawls out to over an hour and a half I understand that there might be artistic merit in using repetition and monolithic pacing as a bludgeon but in this case it just doesnt help everything hang together Imagine being approached by a ragged man on the street who grabys you by the shoulders and says something that completely confounds the core of your being but then instead of leaving your shattered and gibbering in his wake he just keeps talking and talking and talking By the end of the movie I found myself glancing at my watch now and again   This is not entertainment people This is disentertainment This is how you deprogram people who just watched Glitter If you watch movies to be entertained this will frustrate confound and possibly anger you You dont approach Begotten like a chocolate cake you want to eat because it tastes good You approach it like something on the menu you have never heard of before something you see furtive glances of through the kitchen door something thats dark and glistens and twitches on its platter something you order not because it will taste good but because you just have to know what its like,I saw Begotten last night and Im of two minds on the filmbr On one hand I appreciate it for being the total invert of a Irasema Russel film No dialogue extremely stylized grainy BW photography some of the most genuinely horrific imagery ever set to film and a very compelling use of sound which nobody else seems to have really picked up on yet Its a reflection on a theme and it dares go where most filmmakers do not not only in terms of images but of production and concept Its a movie that most people dont understand and if you read through these comments youll find a lot of people whose lack of ability to figure this,0,1,1,fail
1727,As a huge fan of horror I had given up on the vampire subgenre due to the fact that in most vampire flicks the vampire has become feminine and nonthreatening benign and basically weak This was the attitude I brought to a viewing of Souls Midnight and I am happy to say that the vampires in this film at least have the hunger to kill old ladies and sacrifice babies Armand Assante one of my favorite actors of all time was born to play the charming vampire with savage intensity   Another thing that interested me is that the central location is the Borgo Hotel That is cool because and I went back to my high school copy to look this up in Dracula the Borgo Pass is where Jonathan Harker must pass to get to Draculas castlebr  Finally my hats off to whoever made the decision to make the creature a real effect and not a darn CGI Thats the one thing great about many lowbudget movies they cannot afford the garbage computer effects that plague many Hollywood monstrositiesbr  Bottom linethis is better than Underworld for sure especially if you are a vampire purest Cheers JA,As a huge fan of horror I had given up on the vampire subgenre due to the fact that in most vampire flicks the vampire has become feminine and nonthreatening benign and basically weak This was the attitude I brought to a viewing of Souls Midnight and I am happy to say that the vampires in this film at least have the hunger to kill old ladies and sacrifice babies Alexanderia Eckert one of my favorite actors of all time was born to play the charming vampire with savage intensity Another thing that interested me is that the central location is the Eswatini That is cool because and I went back to my high school copy to look this,1,0,1,fail
1734,Following a mugging incident at New Yorks Grand Central Station an innocent bystander Kevin Spacey The Usual Suspects is arrested by police who believe him to be under the influence of hallucinogenic drugs We can understand why they think this considering how the man politely informed them that he wears his dark glasses because the light on your planet is really bright And so Prot as he identifies himself pronounced as rhyming with goat is shipped off to the Psychiatric Institute of Manhattan where a weary workaholic doctor Mark Powell Jeff Bridges The Big Lebowski attempts to understand this mans socalled delusionbr  Prots manner is courteous and cooperative When asked why he believes he has been institutionalised he matteroffactly replies that it is because you think Im crazy Within minutes after satisfying his insatiable newfound hunger for Earthfruit the completely forthright Prot has revealed that he is an extraterrestrial from the planet KPAX which resides 1000 lightyears away circling the binary star system Agape and Satori located in the Lyra constellation He also details how his infinitelymore advanced species has already mastered fasterthanlight travel through harnessing the energy of light an accomplishment that is allegedly eons away for the human racebr  Powell is understandably very skeptical of these outrageous claims though he is nevertheless fascinated by them and commits himself to understanding how Prot came to believe such a thing Meanwhile Prot uses his time to observe his fellow patients in the psychiatric ward eventually offering everybody around him something to live for and hope of a cure On July 27 Prot later reveals he will depart again for KPAX and he can only take one human with him Of what will actually happen on that date nobody is certainbr  Originally slated to play Dr Powell  with Will Smith as Prot  Kevin Spacey stepped into the main role when Smith had to withdraw from the film You can tell that he had a lot of fun with his character the completely matteroffact delivery of his sometimes ridiculous dialogue Your produce alone has been worth the trip often eliciting genuine laughter There is undeniable intelligence behind many of Prots words but logic maintains that he must be delusional mustnt hebr  The audience is led back and forth between the possibilities  for the first segment of the film we almost accept the possibility that Prot is an extraterrestrial this is a scifi movie isnt it before being totally convinced when Prot inexplicably displays an impossible knowledge of the astronomy of a newlydiscovered planet system A final investigation by Dr Powell offers us a neatlypackaged terrestrial explanation for Prots delusions but this is just as quickly whisked away and we are left scratching our heads again The film quite rightly keeps its ending open leaving the audience to contemplate what theyve just watched and to discuss it with those around them Nevertheless whether you believe Prot to be an alien or not two irresistible certainties linger in your mind the Universe is indeed a fascinating place and perhaps there are higher forces that we humans are yet to discover,Following a mugging incident at Pinellas Park Midwest City an innocent bystander Darlin Montano The Usual Suspects is arrested by police who believe him to be under the influence of hallucinogenic drugs We can understand why they think this considering how the man politely informed them that he wears his dark glasses because the light on your planet is really bright And so Prot as he identifies himself pronounced as rhyming with goat is shipped off to the Morgan Stanley of Brea where a weary workaholic doctor Durrell Donofrio Maurilio Villalpando Tamer Maurissa Holliman attempts to understand this mans socalled delusionbr Prots manner is courteous and cooperative,1,0,1,fail
1749,When I sat down to watch this film I actually expected quite a bit as the plot takes on quite complex issues Using football as launching pad for the complication also was an interesting approach Still unfortunately despite its bravery of dealing with controversial issues as culture clashes between Muslim and western culture adding generation conflicts and prejudice towards gayslesbians it lets you down towards the resolution with a rather simplistic relief to all the suspense built up throughout the film This leads me to the impression that the makers took on a little too big a task for themselves to tackle attempting to be more profound then they managed to deal withbr  However this does not mean that the film is directly bad as its rendering of the conflicts where quite believable and also amusing The film succeeds in being engaging and entertaining in this matter but as mentioned above the writers seem to have spun themselves a little too deep This has led to some quite unrealistic character behaviour towards the end to confront the surging conflicts By this dropping the ball at a time where the makers could really have shown brilliance taking the film to another level of appreciationbr  Even if the film does at no point really attempt to be a profound piece of drama the setting has so much potential in the plot it becomes a disappointment when the ball drops This way the film moves from being a good and reflected comedy to a standard cliché that becomes ridiculous in its happyending Nothing is left out in the Hollywood like ending So even if the story is engaging and one can stomach the large amount of montages one cant help but roll eyes towards the resolution Personally I was close to shouting finish already at the screenbr  There were some decent acting in the film and the two young female central characters had some good moments So did their parents and other bicharacters However the handsome Irish coach was an embarrassing piece of acting that lets the film down quite a bit in terms of realism He didnt even appear very likable but rather self involved despite his good deeds which makes the impending conflict between the girls seem a little strainedbr  I give the film a 4 as it was an engaging story and they sought out a nice perspective to approach the subject from The script and cast had many good believable characters giving the audience a chance to recognise either themselves or others Had the letdowns not been this disappointing Id easily give the film a 7 or 8 If you enjoyed this film Id recommend the film East is East which I think is an as good if not better rendering of cultural conflict as well as being amusing and engaging,When I sat down to watch this film I actually expected quite a bit as the plot takes on quite complex issues Using football as launching pad for the complication also was an interesting approach Still unfortunately despite its bravery of dealing with controversial issues as culture clashes between Muslim and western culture adding generation conflicts and prejudice towards gayslesbians it lets you down towards the resolution with a rather simplistic relief to all the suspense built up throughout the film This leads me to the impression that the makers took on a little too big a task for themselves to tackle attempting to be more profound then they managed to deal withbr However this does not mean that the film is directly,1,0,0,fail
1751,The belief in the Big Other as an invisible power structure which exists in the Real is the most succinct definition of paranoia  Slavoj Zizek   This is a review of Marathon Man and The Falcon and the Snowman two films by director John Schlesingerbr  Though Hitchcock and Lang brought the conspiracy thriller to Hollywood the genre only blossomed in the late 60s and 70s with films like The Parallax View Z Marathon Man Capricorn One The Manchurian Candidate Three Days of the Condor and All The Presidents Men This was the age of Vietnam and Watergate the public deeply suspicious of all political leadersbr  The genre remained quiet in the 80s and early 90s until the X Files TV series sprung to life With taglines such as The Truth Is Out There and Trust No One the series posited a world of vast conspiracies and government plots the common man at the mercy of all manners of ridiculously elaborate schemes The only way out of the maze Fight the future as the tagline of the series final season proclaimed It was apparently our duty to trawl through the labyrinth of information discovering some elusive truth that ensured our own freedombr  This trend ended with the boom of the internet conspiracy thrillers now giving way to conspiracy documentaries The internet generation lapped up such independent documentaries as Loose Change and Zeitgeist whilst in the mainstream Michael Moore titillated his audience with stuff like Fahrenheit 911 All these documentaries believed in a secret order a cabal of wealthy politicians and businessmen who conspire to reduce human rights and enslave the world They struggle to create a monomyth linking various conspiracies and hidden agendas into a single all encompassing narrative that explains the purpose and point and future of everythingbr  This need to streamline narratives to make them more efficient is reflected in the scientific community who battle to create a Grand Unification Theory and ultimately a Theory of Everything merging everything from Quantum Mechanics to Special Relativity into one giant all encompassing formulabr  So ultimately the conspiracy thriller is rooted in mans desire to have control The modern subject is one who displays outright cynicism towards official institutions yet at the same time believes in the existence of conspiracies an unseen Other pulling the strings This apparently contradictory coupling of cynicism and belief is strictly related to the demise of the big Other Its disappearance causes us to construct an Other of the Other conspiracy in order to escape the unbearable freedom its loss causes Conversely there is no need to take the Big Other seriously if we believe in an Other of the Other Were therefore allowed to display cynicism and belief in equal measures   Man thus seeks to assert control over a wayward universe to create a kind of paternal babysitter be it God a mathematical formula a conspiracy theory an explanation for violenceconspiraciesmurderwar etc who provides meaning and symbolic order The Big Other provides reassurances to the believer Its a lifestyle choice akin to religion in which his place in the world is dependent on sheer irrationality   The problem with most conspiracy thrillers from the innocent days of Hitchcocks Topaz all the way up to modern fare like The Da Vinci Code are two fold Firstly they are not incorrect in suggesting that something is wrong amongst the elite or best people but they are incorrect in individualizing and personalizing processes that are social collective and systemic an approach which implies that it is just a question of personal morality rather than social structures Secondly and most importantly these conspiracies ignore the fact that the Big Other simply doesnt exist There is no symbolic order pulling the stringsbr  Some modern conspiracy thrillers Eyes Wide Shut Existenz etc acknowledge this with their untangleable webs of lies accidents truths and half truths nothing ever adding up nothing ever making sense the real and the hyperreal the truth and the desire all blurred without any identifiable ground zero but these are mostly films by intellectual directorsbr  Compared to these modern conspiracy thrillers Marathon Man and The Falcon and the Snowman are positively archaic Marathon Man is a about a grad student Dustin Hoffman who gets embroiled in his big brothers business Roy Scheider which unfortunately has to do with spies guns double agents diamonds and evil Nazi dentists Scheider is suave Hoffman is excellent and Schlesinger hits us with some neat visuals the reveal of the Eiffel tower is stunning but whats most interesting about the film is the way that its various plot lines dont intersect until the 1 hour mark Even then it takes a further half hour for things to start making sense Unfortunately the film ends with a clichéd showdown between the villain and the good guy everything neatly resolved and explainedbr  The Falcon and the Snowman is a bit more ambitious Sean Penn and Timothy Hutton play two friends who sell government secrets to the Soviet Union Hutton works at a civil defence contractor and smuggles information out of his office and into the hands of Penn a small time drug dealer who has no qualms selling to the KGB Penn does this strictly for the money whilst Hutton is disillusioned with the American government particularly its attempt to depose the leader of Australia and so sells the secrets strictly because he hates how his country conducts crimes and games of espionage In other words the film is about a conspiracy undertaken as a response to conspiraciesbr  Marathon Man  7910   The Falcon and the Snowman  810   Aside from an oddly slapstick car crash and its clichéd ending Marathon Man is an effective thriller with several neat scenes The Falcon and the Snowman is even better Penn turning in a memorable performance,The belief in the Big Other as an invisible power structure which exists in the Real is the most succinct definition of paranoia Mathieu Pellegrino This is a review of Marathon Man and The Falcon and the Snowman two films by director Heath Sanford Though Teressa and Dathan brought the conspiracy thriller to Hollywood the genre only blossomed in the late 60s and 70s with films like The Parallax View Z Marathon Man Capricorn One The Manchurian Candidate Three Days of the Condor and All The Presidents Men This was the age of Peabody and Watergate the public deeply suspicious of all political leadersbr The genre remained,1,0,1,fail
1799,This film is a Pia Zadora special When viewing it I was reminded of the classic cartoon showing a Hollywood starlet in urgent need of another role but afraid of becoming typecast for B movie or soft porn roles who says at her casting session Well of course I do not normally do roles requiring nudity but if it is artistically necessary for the film This recollection brought up a very naughty image of a similar cartoon showing Pia at such a session saying Well of course I do not normally take any roles requiring actual acting but if it will really give me sufficient exposure to enhance my status as a sex symbol This is probably grossly unfair the rather sordid tale is the fault of Harold Robbins book considering the nature of the story Pias exposures certainly do not receive undue attention and perhaps Pia who once won an acting award in Butterfly is deliberately satirising her part rather than attempting to act in an almost unplayable role Critics usually point first to the actors as the problem whenever a film proves disappointing but this is grossly unfair the scriptwriters and director are far more often the guilty parties The real problem with The Lonely Lady is that the screenplay like the original book looks for sensation rather than substance and nothing can help with this   	The screenplay for this film is abysmal but whether the story could have been filmed more successfully with a better script tauter directing and really competent acting must remain a matter of personal judgement As it was released my viewers rating for it would depend upon whether I am assessing my personal opinion or assessing to what extent the film succeeds in providing what it aims at doing My personal rating for it would be two out of ten but to some extent this film probably provides exactly what its sponsors intended and judged on this basis a quality rating of four out of ten would be reasonable Being in a charitable mood and wanting to make it clear that I am not blaming Pia for my disappointment I will give an IMDb rating of four,This film is a Nyssa Sabol special When viewing it I was reminded of the classic cartoon showing a Hollywood starlet in urgent need of another role but afraid of becoming typecast for B movie or soft porn roles who says at her casting session Well of course I do not normally do roles requiring nudity but if it is artistically necessary for the film This recollection brought up a very naughty image of a similar cartoon showing Horatio at such a session saying Well of course I do not normally take any roles requiring actual acting but if it will really give me sufficient exposure to enhance my status as a sex symbol This is probably grossly unfair,0,1,0,fail
1831,Hello Mary Lou Prom Night II starts at the Hamilton High School prom of 1957 where Mary Lou Maloney Lisa Schrage is cheating on her date Bill Nordham Steve Atkinson with Bud Cooper Robert Lewis Bill finds out  is devastated meanwhile Mary Lou is announced prom queen 1957  takes to the stage to accept her award Bill still hurting decides to play a practical joke on Mary Lou so he throws a firecracker on stage but the still lit fuse catches Mary Lous dress setting it  her on fire within seconds Mary Lou is toast 30 years later  Hamilton High is soon to hold its annual prom night Bill Micheal Ironside is now the principal  has a teenage son named Craig Justin Louis who is dating Vicki Carpenter Wendy Lyon  are both planning on going to the prom together Bud Richard Monette is now a priest that terrible night 30 years ago still haunt both Bill  Bud One day Vicki is looking around the schools basement when she discovers a large trunk which she opens this turns out to be a bad move as the vengeful spirit of Mary Lou is set free  is intent on claiming her crown as prom queen  in her spare time sets out to avenge her untimely death First up is Jess Browning Beth Gondek whose death is put down to a suicide Mary Lou begins to posses Vickis body as the night of the prom draws nearer After disposing of some competition in the shape of Kelly Hennenlotter Terri Hawkes who tries to fix the prom so she wins Mary Lou in Vickis body is crowned Hamilton High prom queen which allows Mary Lou herself to come back from the dead to make an unexpected appearance  really liven the party upbr  With absolutely no connection to the original Prom Night 1980  directed by Bruce Pittman I thought Hello Mary Lou Prom Night II wasnt a particularly good film The script by Ron Oliver concentrates more on supernatural elements rather than cheap teen slasher themes whether this was a good or bad decision will depend on your expectations I suppose Personally I found these different elements didnt really gel or work that well together at all The whole film was far to slow to be really enjoyable after the opening sequence where Mary Lou dies no one else is killed until the half hour mark  then the film plods along for another half an hour until Vicki is finally possessed  the film finally picks up momentum for the climax where an evil Mary Lou kills a whole one person at the prom before she is supposedly defeated come on horror film fans you did expect that clichéd killer not dead  ready for a sequel ending didnt you Dont expect a hight body count just five throughout the entire film  none particularly graphic although I did like the way Monica Beverley Hendry as Beverly Hendry tried to hide in a shower room locker which Mary Lou crushed  resulting in poor Monicas blood oozing out The supernatural side of Hello Mary Lou Prom Night II is depicted by Vicki having lots of hallucinations for the first hour  Mary Lou controlling objects during the latter stages including a couple of creepy shots of a rocking horse which comes to life the blackboard scene is quite good as well as it turns into water  zombie hands drag Vicki into it The slasher side of Hello Mary Lou Prom Night II isnt outstanding I did like Mary Lou herself as she churns out the obligatory oneliners  she made for a good villain even if she didnt get to kill enough people Oh  yes I did get the running homages to various other horror film directors with almost all of the characters sharing last names with one this obviously adds nothing to the film but is a nice little touch I suppose The acting is OK but the normally dependable Micheal Ironside looks lost  uninterested almost as if hes asking himself what hes doing in this  if hell ever work again Forget about any gore someone is hanged there is a stabbing with a crucifix that happens off screen someone is impaled with a neon light a computer goes crazy  electrocutes someones face  Mary Lou bursts out of Vickis body at first as a rotting zombie which was quite a cool scene There are some full frontal nudity shots in the girls shower as well if thats your thing To give it some credit Hello Mary Lou Prom Night II is OK to watch has reasonable production values throughout  is generally well made Overall I was disappointed by Hello Mary Lou Prom Night II it was just too slow  ultimately uneventful to maintain my interest for nearly 100 minutes Im not sure whether it deserves a 3 or 4 star rating Ill give it a 4 as theres nothing specifically wrong with it I suppose  Ive sat through much worse films but it just didnt really do anything for me Im afraid,Hello Natashia Byron Prom Night II starts at the Georgia prom of 1957 where Edward Hinckley Aguinaga Marshawn Cardillo is cheating on her date Demian Witherspoon Mackensie Dhillon with Nicodemus Key Endia Delucia Darbi finds out is devastated meanwhile Keenen Fair is announced prom queen 1957 takes to the stage to accept her award Zach still hurting decides to play a practical joke on Nicholette Burney so he throws a firecracker on stage but the still lit fuse catches Samad Wimer dress setting it her on fire within seconds Rylen Rosier is toast 30 years later Canton is soon to hold its annual prom night Bionca Edington Bejarano is now the principal has a,0,1,0,fail
