review,sentiment,word_count,length_bucket,char_count,char_length_bucket
What a fantastic find The ice cream is the best Ive ever had The service was excellent,positive,17,<50,90,<500
Craving delicious melt in your mouth macaroons Look no further Bouchon Bakery is here Seriously This review is solely for their macaroons the only thing I ever buy from here Like my fellow yelp friend Emily C says Most bakeries that sell macaroons are deceiving They look great lure you in but when you take a bite Its a little short of expectations and filled with disappointment But not here Yes it is 325 a macaroon but trust me it is well worth it 1 The size of the macaroon is about three times the size of a typical macaroon 2 The filling is to die for Not too creamy not too soft but perfect that it just melts in your mouth and you can savor the taste 3 The shell of the macaroon is perfect too Hard enough to hold but soft when you bite into it Im ready to go and buy more Youll definitely see me around Bouchon when Im in Vegas,positive,165,150-200,875,500-1000
Came here because the Halo Halo looked so good And we were not disappointed It was far better than the kind we tried in Vegas and the owner is very enthusiastic about sharing this Filipino dessert We loved it so much we ordered more of the UbeTaro ice cream The owner let us taste several other ice cream flavors They have several unique flavors and they are all very well made Well definitely come back here,positive,76,75-100,418,<500
Too commercialized the cakes per slice arent fresh they are pre packaged not sure for how long Might as well purchase ones off the vending machines downstairs I also thought they would have more options to choose fromthey dont at this location I went to Disappointing might as well go to some sort of Asian bakery or brew tea bar for a sweet treat,negative,64,50-75,357,<500
If you need some Ice cream and you on the strip come to this place ASAP Although this place is hella expensive it is really delicious I Highly recommend for everyone to try the moms apple pie flavored ice cream,positive,40,25-50,219,<500
This place has phenomenal ice cream and sorbet We had the salted caramel butter and strawberry sorbet and they were awesome The scoops are reasonable sizeso do a two scoop to give you more options,positive,35,25-50,201,<500
First time wont be the last time Great location fun decor super yummy donuts plus chocolate milk if youre not feeling coffee with your confectionaries Thanks Donut Bar Ill be back,positive,31,25-50,190,<500
hire more help line is ridiculous every night you are losing customers because of this you need someone taking orders someone scooping someone doing toppings you serve ice cream how hard can it be to be fast,negative,37,25-50,215,<500
Ehhhhh This place is very expensive but everyone knows that A cannoli and lobster tail was a little under 12 The cannoli was alright The shell was a bit hard and there was a TON of filling Way too much It tasted fine The hazelnut lobster tail was nasty I dont know what the hell that filling is but it was so bitter Chewing the outside was exhausting It made my jaw hurt I ended up throwing it away I only gave it two stars because customer service was good Everyone there was very friendly and prompt,negative,97,75-100,519,500-1000
Tried the Thai tea and the matcha float So good Definitely coming back for the butterbeer ice cream,positive,18,<50,102,<500
Not only did they yell at everyone as they walked in to the store to wear a mask when the sign on the door didnt read mandatory but also as I get up to the counter with my mask on and the lady asks if I ever have been crop dusted wearing my mask Extremely rude and uncalled for Very rude and inconsiderate staff Pastries and desserts were okay at best Nothing explains to you what these parties are and staff barely knows Safe to say you lost a customer,negative,90,75-100,464,<500
Several of us tried the food at Milk Bar Las Vegas and we were not impressed We tried several things The Birthday cake was dry and ordinary I am no baker but I make better cakes at home Tasted like old bad box mix cake I would not eat it again The consensus on the cookies were that they were not fresh and were pretty underwhelming We tried 4 different varieties and felt the same way about all of them At the price point they charge the should taste fresh I have had better cookies for free at hotel check in at gas stations and school cafeterias The crack pie was just OK It has the consistency of a lemon bar but the flavor or pecan pie It was not what I was expecting I am not sure I would order it again The cereal milk ice cream had no flavor at all The birthday cake truffles made no sense They were dry dry dry Milk Bar is kind of expensive and the baked goods tasted old This is not a place I would patronize again Their are amazing places to get treats all over vegas This is not one of them,negative,202,200-250,1026,1000-1500
I really dont know what it is about this place but I dont think it is really that good Theres too much frosting and its too sweet However this place is like crack to me I will never pass up an opportunity to come here and grab some cupcakes furthermore I am usually the one that suggests it I know weird Hell quite often I suggest going there to get some cupcakes from their Cupcake ATM afterhours Crap Im starting to feen as I write this Although they have quite an array of flavors to choose from I usually stick with their Milk Chocolate Cupcakes My wife in the other hand has probably tried all of their flavors and her goto is the Red Velvet I think what makes me not like their cupcakes too much is the fact that they use too much frosting and theyve always been a little too dry inside I prefer my cupcakes a little more on the moist side Well thats not the only thing I prefer moist but Ill leave that one for another day Allinall I dont really know what my infatuation is with this place but I will definitely be making plenty more afterdark ATM trips Perhaps I just like to buy into the hype although I do find the inside of their store to be very cute and simple,positive,229,200-250,1217,1000-1500
We ordered the banana split and the guy prepared it without wearing gloves which I think is unsanitary since its the same person who is collecting the money and preparing the order This guy who helped us was very nice but the owner should provide gloves for the employees,negative,49,25-50,273,<500
The best ice cream ever Captain Crunch Red Velvet Salty Caramel Brownies are moist and dense i love it Salted Oatmeal cookie its like a breakfast cereal in a cookie Most of the stuffs in there can give you diabetes But it sure is worth it Keep an eye on there OTM cupcakes Banana Cupcake with Caramel Frosting is BOMB If you are lucky enough maybe you get to taste it Pumpkin with Toasted Marshmallow as well,positive,77,75-100,420,<500
Villanis has been on my bookmarks for a while so once I moved close to the area and when I say close I can walk I had to stop by over Memorial Day weekend for some treats Upon arriving the staff welcomed me and I mentioned this was my first visit so I had to look over ALL their options as they offer a lot Although the bakery items croissants etc looked good we had to go with sweet treats So we ordered a Lemon Bar one of my favorite items as a kid a slice of Red Velvet Cake and a few shortbread cookies Each bite was amazing and I can say one of the best Red Velvet Cakes I have had in a while And the cookies OMG a perfect bite So definitely look forward to my next visit to check out some other items and their coffee too,positive,151,150-200,751,500-1000
I was so excited to try the deserts from here after watching there shows so many times they did have a lot of options and yes there was a huge line so my rating is mostly on everything the pastries were really good I only got the lobster tail and chocolate cupcake which when I got home I wanted more to bad I live around 700miles away hahaha well anyways I lowered a star because they have BAD service the girl employees are so slow I mean theres a huge line and theres only 3 girls helping with the order and than yhey stop to have a full conversation with each other Like really do u not see the line  But besides there bad customer service the deserts are really good,positive,132,100-150,686,500-1000
Im only giving this place one star because I didnt get to eat here Why Because they do a piss poor job in guiding you to this bitch On the casino floor they advertise it everywhere Then you start looking for it and there are no signs anywhere I had to ask 4 people that just told me to keep going Its in BFE Next to Rockhouse where you cant go any further Now my family has lost interest Put up signs to guide people here Im sweating from the long walk here Damn,negative,94,75-100,489,<500
I just walked into this establishment I was standing in front of the order here sign and two employees were behind the counter just talking so I didnt get service I just turned around and left out but the only reason for two stars is because the menu looks really big I have never been here but have heard such good things about the salads,negative,65,50-75,343,<500
Really good salted cream coffee Easy to use kiosks to order cake or drinks The line was too long to try the baked good but after they are open for a while Id like to try the hotdog buns The prices on the bakery items was very reasonable,positive,48,25-50,242,<500
Upon seeing this place on a hrefredirurlhttp3A2F2FVegascoms815df335831efd1e460521ad580e06c20729c8d21a1b3ec4986fca500635ab53 target_blank relnofollowVegascoma and reading the positive reviews I went in and bought a strawberry shortcake Boston creme a vanilla cupcake with vanilla frosting and two cust cream puffs without even thinking twice Big mistake It took me a great deal of effort to finish the shortcake I really had to push myself hard to make it halfway though with the Boston creme and I took a bite and regretted immediately from the cupcake to include it in my review I havent tried the cream puffs yet because I am so very disgusted I am not going to write how horrible each of them tasted Feel free to see it for yourself Skip this place Turn around and run Really The local familyrun bakery back at home does a way better job than this and charges half the price I wasted 2736 here Money down the drain This place is a sorry excuse for a bakery UPDATE I went back minutes after posting this review and asked the manager to read the review She didnt read it to the end shows how much she paid attention and asked me to describe how they tasted I did and asked if there was a refund Of course there wasnt So I left the cream puffs for THEM to enjoy and left Please see picture I am going home to throw up,negative,235,200-250,1386,1000-1500
AmÃlies offers two of my favorite things pastriestarts and coffee but this location offered me one of me least favorite things terrible customer interaction and service The employees at this location are some of the rudest bunch I have encountered When I arrived there were no labels on any pastries and after asking to be helped we said that we were waiting for them to be labeled they did not offer to tell us what they were When they finally began to label after 5 minutes we asked what kind of cake they had and two of the employees got into an argument about one not knowing what kind it was While continue looking three employees congregated up front to talk very loudly and poorly about one of their fellow employees and her work ethic After finally getting up to the register and asking about their two blends of coffee the employee was very rude and unhelpful all I had asked was what kind of roast and its strength she laughed and said I dont know so I ordered two of the same kind and she had asked if I wanted any room for cream or sugar and I politely and simply said No thank you I then hear her make a remark of Of course not to another employee and they both laugh After finding a place to sit I realize the weight of my coffee seems very light and disproportionate to the size I got so I decided to pop open the lid low and behold there is almost 2 inches of room in each of the coffees I had ordered I had immediately became disgruntled and walked back up to the counter and caught glares from the woman who rung me up and poured my coffee and 2 others like I had done something wrong I calmly took off both kids and proceeded to show and explain that I had asked for no room and received the exact opposite the helping employees offers to fill them up and realized they had run out from that brewer but she immediately brought one up after that was fresh and proceed to fill up my two cups only to still leave room There was no apology made at any point I was no rude to them and did not saying anything to aggravate them either This was a very poor experience and will not recommend this AmÃlies location to anyone spend the money on parking and go to the Uptown location where you will have a much more friendly helpful and honest staff of employees,negative,435,300- 500,2314,2000+
Love the deserts and the soup and sandwiches this place is definitely serving some delicious food but the long waits to purchase and hard time finding a place to seat inside is a turn off for me,positive,37,25-50,196,<500
Awful experience Guest specialist Alyssa had a horrible attitude She should be fired The cashier Akberet however was very polite Thumbs down for bad service,negative,25,<50,163,<500
Went there because of the reviews of large vegan selections Was greets with two vegan ice creams and Italian Icenot what i expected Was also let down by the lack of vegan milkshakes and sundays Prices were also a bit high Paid 5 for a 2 scoop cone Needless to say i wont be returning But the service was nice,negative,60,50-75,319,<500
One star because I love their pastries The manager here must be out of their mind running it the way they do I waited outside for maybe 10 minutes to get in but waited for 1 hour in line to purchase I watched 2 people cashier until each cashier had to also then pack up the cold items for the customer which took that cashier away from cashiering for 20 minutes because of the amount of items and the fact that he fucking then decided to help carry the items to their car Then came back for another box and walked away to their car again The whole time he left 1 cashier Meanwhile the manager was no where in sight now in the back for 30 minutes Another shift manager walking around not finding anyone else to cashier to help their customers who have been in line for 1 hour Other upset customers actually yelled for them to get another cashier The manager had no sense of customer service,negative,170,150-200,901,500-1000
The cookies are definitely not worth it Maybe the ice cream and shakes are We stopped here for a visit bc i was interested in trying some of the treats that Christina Tosi is known for This was particularly true since Ive considered signing up for her online baking class and love to watch her judge MasterChef Junior Imagine my surprise when after paying 4 per cookie we were handed two shrinkwrapped prepackaged items the Confetti and the Compost Dont get me wrong they were tasty but at that price point we are expecting freshbaked preservativefree cookies at a minimum The cookies didnt particularly WOW either of our taste buds and Id say they were probably onpar with other cookies Ive had from Panera that are larger AND cheaper I will say that I was surprised at how the pretzels retained their crunch But my husbands stomach ended up being unhappy for the rest of the evening which typically only happens when he consumes a preservative that disagrees with it Would not recommend go to Bouchon Bakery instead for your fix,negative,181,150-200,1061,1000-1500
Five stars I get it Tons of variety amazing sugar and waffle cones Nice staff 2 levels and a cool kitchen watch it all happen A Ohio city area of Cleveland my favourite part,positive,34,25-50,180,<500
My wife and I had breakfast here twice while in town for a weddingThe breakfast sandwich was very good and the pecan sticky bun lived up to its nameYou also get a show with your meal as the large windows allow you to watch the bakers do their thing,positive,49,25-50,252,<500
oK so why did no one tell me that there is a 247 bakery in Charlotte This is such a great spot to come to after dinner and drinks They have lots of amazing goodies to try It might take me years to taste everything they offer Tip They have really long lines But it is worth the wait and it usually moves pretty quickly The only complaint I have is that its hard to decide when you get up there to order and you feel very rushed because there are so many people behind you I had the Napoleonamazing I also had the vanilla petit cake and the salted caramel brownie The brownie was my favorite part They make a good cappuccino which really complements their baked goods It has a super cute design and lots of seating,positive,139,100-150,730,500-1000
So this is one Ive been waiting for and I am excited that I get to finally review it Ambiance The decor is fairly the same as the ones that I have seen in California I mean it is a franchise so no surprise there and no complaints Theres a good amount of cases for people to go to when choosing what they want to grab and the line weaves its way through Service Now service was good There was a lot of people when I went so there was a bit of a wait but compared with the amount of people it definitely was not to bad Service was fairly quick so no complaints A girl named Kiara was our cashier and she was nice quick and when my mom asked if they had Taro bread she kindly offered to grab us a couple before it made its way to the cases which I did appreciate Food This is always the highlight I never have any complaint and this is the same My personal favorites are the Taro marble bread egg tarts and chocolate bread The taro bread is always nice and subtle Chocolate bread was good with some powder sugar on the top The egg tarts are always a big one for me because the crust is always so flakey and the filling is sweet A new favorite Ive come to add is if youre looking for something on the savory side their Kale spinach danish definitely make my tummy happy Overall Im glad we finally have one in our city Only thing that I wasnt pleased with was the wait just because if youve been to other 85s then you know theyre pretty quick but Im sure theyll get faster once they fully settle in In love and will be coming here a lot more in the future,positive,311,300- 500,1587,1500-2000
The macaron were very tasty I wish they had more flavors to pick from but you cant expect much from a bakery inside a casino,positive,25,<50,127,<500
so ive been seeing this fad in the culinary world about these darn macaroonsmy bf and i decided on stay in vegas to find some to try and i heard bouchon bakery had great ones thank goodness i decided on this bakery to try my first macroons herei tried the chocolate pastachio and caramel flavors they are a bit pricey but worth it the employee there gave me a coffee one when i originally asked for the caramel and before i left i made sure they gave me the correct one but of course they gave me the wrong oneso i told her i asked for the caramel not coffeeshe gave me a look and gave me the caramelnever said sorry or anything boo on customer service there but on my last day of vacation in vegasi couldnt resist to take some homelove the caramel one out of all themand customer servicewas def improved bc it wasnt the same girl haha you should def come here for great macaroons,positive,169,150-200,912,500-1000
This place is ok but dont go early  staff is slow and most items dont get put out until after 9 or later Definitely overpriced and everything looks better than it tastes Lots of better options nearby,negative,38,25-50,205,<500
I love this place The perfect lunch spot Great bread Great pastries,positive,12,<50,71,<500
Where do I begin My cousin took me here on my first night of vacation because we both have a strong passion and love for ice cream She read of Churn on Buzzfeed of 27 ice cream places to try in the country before you die and wow am I so glad she took me and I cannot wait to go again on my next visit to Phoenix We both went all out and got sundaes I had the kitchen sink which was a mixture of chocolate and peanut butter ice cream toffee sauce butter scotch candy and HOMEMADE whipped cream It was one of the best ice cream sundaes I have ever had The ice cream was clearly home made and melted sweetly in your mouth The whipped cream may have been my favorite part Everything was perfection My cousin had the Smores Sundae which was a giant cold ice cream smore It was delish too but the best part of hers was they lit the fluff on fire before serving so it even had the burnt marshmallow feel you normally get on a smore at a campfire However the best part was it was so huge I got to take it home and enjoy it a second night after dinner Next trip to Arizona this will definitely be on my list to try again,positive,226,200-250,1137,1000-1500
I bought some bakery and cake on 111 at 11am and the male cashier on the left register is rude and nasty He wore the same clearplastic gloves when he gave me my changes back and pick up my cake the bakery forks and napkins at the same time for me I told him to be considerate to customers health when handling food during this Covid by replacing the gloves Instead of admitting his mistake and apologized he responded back the cake and bakery are covered in the store which meant he can reuse the same gloves to serve multiple times Who knows how many customers he had been helping before my turn wearing the same gloves These cheap clear plastic gloves suppose to be used once and disposable beside all cakes and bakery in the store were not completed cover they are open on top for the cake and the plastic cover the bakery were not complete sealed In another word he only wore the gloves just to protect himself and careless to the customers concerns The management here should train your employees to be serious with the pandemic protect customer health and should be polite to customers Remember that there are plenty of bakery stores in Las Vegas with this kind of customer services attitudes you will loose all your customers soon,negative,224,200-250,1267,1000-1500
My very first time trying this and all I can say is OMG WOW AMAZING And I got there at the perfect time HAPPY HOUR Staff is also amazing very clean place They definitely stand by their slogan Best Donuts in the WORLD Wow,positive,44,25-50,233,<500
In the area from out of town and came in for a visit given the great advice of my fellow Yelp friends The great reviews are so right The location is on a corner and looks a bit dated on the outside  dont let this keep you away They are cash only  so make sure youre prepared Approx 11 for a dozen which is a great deal for fresh homemade donuts We got a dozen of assorted varieties The glazed chocolate cake were great with a little crisp on the outside The chocolate frosted cake donuts are super flavorful and love the thick chocolate coating and the wonderful piled high buttercream The maple bacon was a wonderful mix of salty and sweet with fresh bacon bits and maple frosting on a yeast donut The yeast donuts are not your ordinary yeast donuts  they are glazed perfect with almost a creamy mouth feel  stick in the microwave for 10 seconds  you will thank me later German Chocolate donut is a glazed chocolate cake with pecancoconut frosting and the wonderful piled high chocolate buttercream My only concern is that there are no labels on any of the donuts which is fine for locals who may visit more often  but makes it difficult to decide without feeling really annoying to the staff and the line behind you This shouldnt deter you at all though  The donuts are an absolute must try,positive,245,200-250,1318,1000-1500
Dont waste your money Just pick up some prepackaged stuff from a grocery store and youll be better off Ordered a brownie a white and a dark chocolate mousse and a Cookies  Cream Cake Slice Nothing bad about the mouse nothing great The cake slice could have easily been one thawed from the frozen section of a supermarket The brownie was much worse than things I picked up in a grocery store for half the price stale and flavorless aside from the whole pecans throughout Pair that with the fact that their partnership with DoorDash as a delivery service took over 90mins to give us a 40min delivery to deliver to a hotel less than 15 miles away simply awful Calls to the store meet an automated message saying they have left for the day while well within business hours Worst 50 ever spent,negative,145,100-150,814,500-1000
As a Las Vegas local who works on the Strip I stop by Milk Bar whenever I can The service is great and staff are always friendly It is a little bit pricey but its worth it I ordered a cake for a work function a few weeks ago and they were super helpful with ordering The birthday cake was great,positive,61,50-75,304,<500
I really didnt enjoy the doughnut sandwich I got It looked amazing but the taste didnt match The service was great I felt welcomed and taken care of I took one bite and throw it in the trash It was pretty much a waste of money for me I wish that someone nearby wanted my partially eaten food so it didnt go in the trash,negative,65,50-75,333,<500
I have been here numerous times now soooo review time First off the smell of Jenis fills the block and it just draws you in Follow your senses and go inside Once inside you can sample some before you decide on a freshly made waffle cone with one or two scoops or bowl Since I usually cant decide on one flavor I like to share the three half scoop half bowl with someone They now have nondiary options which are just as good as diary Jenis rotates flavors so be prepared to keep coming back There is limited seating inside and outside If you plan on coming here on a weekend plan to wait I have seen the line 40 people deep There is limited street parking available near by Follow the smell and line of people to Jenis in Southend ,positive,142,100-150,760,500-1000
I tried the raspberry cake and the cream cheese puffs I was very underwhelmed The cake lacked flavor and was very bland The cheese puffs while ok were not like omg I have to have I actually drove quite a ways to get to this place because I read that it was open 24hrs Maybe the desserts taste better when you are drunk or you are a college student who typically lives off ramen This seemed to be the type of crowd attracted to the place It is a very eclecticurban type place Very artsy While that does not bother me I did not like how the location is right next to a club Not at all a place that I will come back to Le Madeleine is 100 times better sadly,negative,132,100-150,670,500-1000
This place has a wide variety of quaint desserts sandwiches coffee and tea However the novelty of the decor french decor lots of artistic decor quickly wears after a few visits The pastries are totally overpriced the service is pretty bad and this place often seems to be the high school and stoner hang out,negative,55,50-75,319,<500
Last weekend 71820 after dinner we decided to come to the Palazzo and Venetian hotel to walk off our dinner and explore on what was open during the pandemic Walking through the grand canal shops at the Venetian I bumped into Sloans and the bright pinkness of the shop caught my attention immediately I felt like a little kid again to this adorable Ice Cream Parlor My eyes could not be still for about 15 minutes Once I calmed down I was able to comprehend what was around me The whole ceiling was covered with clouds of baby angels Pink Yellow and blue fun decorative chandelier across the parlor The whole atmosphere felt like candy land and Care Bears altogether Upon entering in the ice cream parlor you will see fake stuffed puppies which my boyfriend thought they were real On the other side of the wall they have all kinds of funny novelty gifts for adults kids and a huge candy wall dispenser On the register side of the ice cream parlor they sold baked goods Caramel apple and Chocolate MM pretzels For ice cream I got a cookie monster with a cake cone which is similar to your Cookies N Cream My boyfriend got a hot fudge brownie with vanilla chocolate and strawberry ice cream with whipped cream and a cherry on top Ice cream was super yummy and they are know to be rBST free  hormone free I recommend bringing your kids here after dinner They will love it,positive,253,250-300,1398,1000-1500
This was such a cute little ice cream place although it was a little difficult to get to because there was construction on the nearby roads I really liked the swirly mural on the exterior of the building The interior isnt anything special and very tiny  no places to sit inside there were several outdoor tables though which was disappointing because it was 110 degrees outside The ice cream The flavor selection was definitely varied and featured several unusual flavors like Thai tea fruity pebbles and ricanelas I got the fruity pebbles and red white and blue sky I visited on July 5th  it consisted of strawberry blueberry and lemon flavors and both were awesome I especially liked the fruity pebbles one because it reminded me of eating cereal as a kid The red white and blue sky was also delicious and not overpoweringly fruity which was nice My mom said that the ricanelas and Thai tea flavors were good although she was miffed because the female cashier gave her less ice cream than the male one did Side note The male server was very friendly My dad got the blueberry muffin flavor which wasnt anything special and my brother got the chocolate and cherry flavors which he said were good Presentation I thought it was cute how they serve ice cream in Chinese takeout containers with fortune cookies instead of the standard cup I found it kept the ice cream from spilling as much as it does when its in a cup and the servers can be more generous in portion sizes Price For a double scoop it was 525 which isnt too bad for such cool flavors I would definitely come back,positive,286,250-300,1625,1500-2000
The donuts are not worth 4 Dunkin and Krispy Cream are much better in my opinion and worth a whole lot more Thats the last 12 bucks of mine youll see You got me with the Sold Out signs NEVER AGAIN,negative,41,25-50,209,<500
Holy cannoli If youre in Little Italy you need to end the night at Prestis Even if its togo The casada cake is delicious I buy the lemon biscotti in increments of 10 And they have gelato You can also get food not just dessert there The Stromboli will hit the spot When you walk in dont forget to take a number or else youll be waiting a long while,positive,70,50-75,369,<500
As a Youngstown native I have to say I was surprised to see my hometown shop in the middle of Vegas I always laughed at the worse west coast variants of ice cream and Im super happy to see real ice cream finally Everything is great here and I can attest from 25 years of memories that this Handels is just as good They also carry TONS of flavorsmuch more than Ohio,positive,72,50-75,375,<500
Horrible cappuccino And the caramel macaroons were like biting a round piece of rock I have been to Bouchon bakery in Yountville and loved it The one inside the Venetian was blah blah and totally blah,negative,36,25-50,204,<500
