review,sentiment
The movie was better than what i expected I was working on the movie set for a short period of time when Damien was making this filmThe gun fire stunt and acting came out pretty good on the editing tipAll thou the the music wasnt all that great Better music would have top this filmSome of the music sound like the hippie days Damien remember you have gang violence gangsters some oldies or hip hop would have did it It was more realistic than blood in blood outThe casting was picked real wellSuspectentertaint did a good job in this filmThe movie brought back a fill of a life style i use to live But than at the end you do not always win And in my history thats how it wasI adapted to the movie the first time i watched itDamien Congratulatoins on this film,positive
I saw the movie late one night on cable and could not believe how bad it was I usually enjoy bad movies but this one was so revolting that it wasnt even entertaining Some of the highlights of this film include the absurd music which is constantly playing throughout the movie the hideous special effects when someone is shot with a laser gun they turn neon green and promptly disintegrate and the disgusting acting The acting in fact is what I feel steals the show I didnt recognize any of the actors in the movie and I hope that I never have to see any of them again Overall I recommend renting this movie if you can find it I cant imagine a video store carrying this garbage just so that you can learn to appreciate quality films after seeing this trash,negative
I think Phillip Kaufman read the cliffs Notes version of the Kundera novel and then set about making this film Okay of course it wont have the punch of the original Kunderas novels are great because of his manipulation of the narrative concept his ability to step in and out of stories he constructs This film does not even try The one dream sequence of Terezas so vital to the atmosphere of the book is reworked and makes no sense whatsoever Also and this is perhaps a lesser point Daniel DayLewis looks a lot like Ben Stiller in this I know its not really a valid complaint but hey A perfect example of the Hollywoodizing of otherwise fine literature,negative
Ive watched this movie twice now on DVD and both times it didnt fail to impress me with its unique impartial attitude It seems more like a depiction of reality than most other Hollywood fare especially on a topic that is still hotly discussed Even though it sticks closely with the southern viewpoint it doesnt fail to question it and in the end the only sentence passed is that the war is lost not matter what and cruelty is a common denominatorbr br What really makes this movie outstanding is the refusal to overdramatize Nowadays truly good movies in a nutshell are few and far apart with mainstream fare being enjoyable if you dont have high expectations but terribly commercially spirited I think this movie comes off as a truly good movie without being a masterpiece because it sticks to itself and gives the viewer a chance to watch and analyze it instead of wanting to bombard him with effect and emotion to blot out his intelligence This movie is cool observant and generally lighthanded in its judgement which is GOODbr br The story has its flaws especially Jewels Character comes off doubtfully but then again the situation at the time was so chaotic that for a young widow it might have been only logical to somehow get back into a normal life even by liberally taking each next guy Still she doesnt come off as weak in fact I think shes one of the stronger characters shes always in control of the relationships with the men just tagging And I take it very gratefully that shes not a weeping widow I believe in the 19th century death of a loved one was something a lot more normal than now You could die so easily of even minor illnesses and injuries so the prospect of of someone dying while surely causing grief didnt traumatise people like it does now People didnt seem to build shrines about their lost ones like they do now and I like that attitudebr br My recommendation is for intelligent people to watch this movie if they are in the mood for something different than the usual hollywood fare Dont watch if if you want nonstop action or heartrenting emotion,positive
the fact that there was so much fuss is ironic as the whole point of the programme was to highlight the way the media treat such taboo subjects such as paedophilia the newsdesk set the suits the smug presenters the menatthescene shouting about things you can see behind them the pointless cgi graphs and stats the whole thing was a satire a very very funny satire the way clist celebritys will say absolutely anything if their agent tells them itll be good for their career there is no evidence for it but it is scientific fact It may be hard to watch with milly dowler and the cambridgeshire girls as well as 911 but satire is supposed to be challenging and we shouldnt be afraid to stand up against the blatant scaremongering and headline grabbing media just because its a delicate matter How this show failed to win any TV awards for its intelligence observation courage acting and thought provocation is shameful but as watching it will show you not in the least bit surprising,positive
This is my favorite of the older Tom  Jerry cartoons from the early 40s The original version with Mammy Two Shoes is on the Tom  Jerry Spotlight Collection 2 set disc one and showcases the wonderful detailed animation of the early cartoons The gags on this one arent all madcap Avery style but more subtle and aimed at anyone whos ever stayed up late watching scary movies or radio programs Tom is listening to a creepy radio show and Jerry decides to play a number of tricks to spook him The ninelives gag is well done here and I dont know how many times I tried to make a vacuum and a sheet that scary when I was a kid When Toms owner is awakened by the ruckus Mammy was NOT the maid it was HER house she gets one heck of a surprise with a big laugh Get your pause button ready its worth it,positive
Charles Chaplins Shoulder Arms of 1918 was his longest film to date though at just over 45 minutes in length it was not quite a feature film With World War One just drawing to a close many popular entertainers of the time were doing their part to inspire their native troops and Chaplin was no exception And so the lovable Tramp went to war The film begins with the Tramp in training and the character is hilariously inept at even the simplest military drills including marching and gunslinging much to the disgust of his drill sergeant The Tramp then finds himself in the trenches faced with a more formidable foe though the Germans eventually turn out of be infinitely more incompetent than even he The uproarious moment when the Tramp declares that he singlehandedly captured thirteen German soldiers by surrounding them had me in stitchesbr br There are plenty of other great moments in this film Chaplin awaking to find his sleeping barracks underwater and being unable to literally find his own feet is hilarious as is his ingenious use of a tube from a record player to sleep beneath the surfacebr br However the most memorable scenes in the film undoubtedly involve Chaplin skulking behind enemy lines disguised as a tree The reactions of the bumbling German soldiers unknowingly just metres from a sworn enemy as they are singlehandedly disabled onebyone are highly amusing especially when one soldier grapples an axe with the intention of cutting down a tree for firewoodbr br This is a very enjoyable film and one of the best of Chaplins pre1920 efforts Highly recommended,positive
I watched this again after having not seen it since it first came out in 97 and it still made me laugh out loud Its skillfully written Kevin Kline and Joan Cusack are both perfect in their roles and if you can look at Bob Newhart in this movie and not chuckle youre more of a man than Ibr br For that matter I think the scenes where Tom Selleck kisses Kevin Kline where Kevin Kline listens to the How to be a Man cassette and the postalmostwedding scenes w Joan Cusack are three of the funniest scenes in any moviebr br Sure the last scene is a bit of an excuse for a happy ending butfew movies are perfect,positive
Franco Nero stars as Cole a ninja who comes to the rescue of his war buddy Frank Landers Alex Courtney and his fetching wife Susan George to protect them from a mobster Christopher George who wants the land Things get even more complicated when the mobster hires Coles old nemesis Sho Kosugi who is also a ninja Inept martial arts actioner while having better production values then most ninja movies fails to inject any life into the surroundings or for that matter actionscenes A poor effort all around,negative
It starts quite good but after a while you start to expect more from this film than you are actually getting Everything becomes unclear and unclear it stays Czech filmmakers were good 20 or more years ago But after they transfered to Capitalistic country here it is Czech unofficial but well known mentality  COPYING  COPYING  COPYING of everything they consider good when they see it in another movies or countries or elsewhere I think that this is a good example of making art and politics and horror and humor and film and money And it remains me of the One Flew Over the Cuckoos Nest which can not be compared to this film in the way of ART and ACTORS and STORY and POLITICS I think this film is boring It could be done better At least they tried Sorry guys  CANOT NOT Recommend,negative
Something about Paulie touched my heart as few movies do It is a witty funny yet emotional movie Im a late comer in becoming a fan of this movie I didnt see Paulie until May 2004 and have since ordered the Widescreen DVD from a seller at eBaybr br The special effects of showing Paulie talking are superb My son asked me how the bird knew so many phrasesProbably my favorite part of the movie is when Paulie is in Gena Rowlands Ivys company followed by Cheech Marin Ignacio Tony Shalhoub Misha plays an excellent part as the good hearted human You root for him all the way through the moviebr br You cant go wrong renting or buying this movie,positive
How much do I love this film Now Im not a fan of bad films but I do love a film that is so bad its good This is one of those Juan Pablo Di Pace has a great butt looks fab on screen and definitely doesnt make a bad turn at his acting debut I believe Billy Zane is suitably mean and moody though I still constantly feel that there is something more in him I felt it in Titanic the look on his face when La Winslet spat on him for example totally broken shocked and putdown  fierce Kelly Brook is a pretty face  no seriously I think thats it Its worth catching this to see one really hot guy some big bra fillers from Brook nasty growling from Billy laugh at the dialogue revel in the scenery and madness of the whole affair  Im gona go watch it again now  yes I bought it,negative
Really really bad slasher movie A psychotic person escapes from an asylum Three years later he kills a sociology professor end of scene One semester yesterday later hey thats what the title card said a new sociology professor is at the school She makes friends with another female sociology professor who works there and starts dating another professor The students are all bored as are webr br There are a number of title cards indicating how much time has passed Scenes are pretty short and cut to different characters somewhere else making for little progression of any kind A lot of scenes involve characters walking and talking or sitting and talking and serve little purpose Despite the passage of time many of the characters are always wearing the same clothing Sometimes the unclear passage of time means when we see a body for the second time we ask ourselves how long has that body been there And also at least one of the dead people dont seem to have been missed by othersbr br The killer manages to kill one person by stabbing her in the breast another by stabbing him in the crotch and another by slicing her forehead Is his knife poisoned or somethingbr br The video box cover has a cheerleader there arent any in the movie The rear cover has a photo of someone in a graduation cap and gown menacing a group of women in a dorm room The central redhead in the photo is in the movie but nobody ever wears such an outfit and there is no such scene The killer is strictly oneonone,negative
This documentary begins with an interesting premise  it makes an intriguing and convincing argument that the history of Jesus as is commonly believed is probably a myth Sadly though after priming us with this the movie completely shifts gears and becomes little more than a nonstop attack on Christianity and pretty much focusing on the easy targetsbr br The writerdirector clearly has some issues with the Church he is a former evangelical Christian and has some legit anger and this film seems to be his form of release Itd be interesting to see the first 20 minutes expanded but as a whole the movie is disappointing,negative
If this film were to be rated on a scale of 1 to 10 one would need to create a new rating system as this one should not even qualify The films plot if you can call it that revolves around Charlie Stephen Baldwin an ex special operatives agent who is being targeted by the brother of a man he killed while he was still working for the US govt If this sounds like an interesting scenario please dont be fooled as this film will not deliver that which its actionthemed story suggestsbr br Comedian Chris Rock once said that when one sees an actor doing a bad film that it makes one want to send the actor 50 given that the actor must be desperate for money to be doing such poor quality work After watching this film you may want to send Stephen Baldwin 100 br br It appears that Baldwin did not put any effort into his role in the film In the film Baldwin is forced to run all over the city of Los Angeles in order to protect his honeycomb wife from being murdered by the brother of a man he previously killed However throughout the picture it appears that Baldwin can barely pull off maintaining a light jog His laid back performance succeeds in subtracting from any suspense that the film might have intended to portray br br If you are the type of person who enjoys watching very bad films and laughing at their shortcomings than this film is for you However if you are looking for a well made action thriller it would be best to look somewhere else rather than renting this film,negative
This review is in response to the submission wondering how factually correct the movie wasbr br Saw this movie last year and found it inspiring that hopeful immigrants like my Italian grandparents who came through Ellis Island at the turn of the last century would subject themselves to all manner of invasive inspection just to enter Americabr br It was certainly eye opening since my grandparents never spoke of anything terrible while there My grandmother was 5years old and my grandfather 18 when they arrivedbr br I just returned from a trip to New York where I had the pleasure of visiting Ellis Island and the museum actually walks you through the immigration evaluation process  The filmmaker obviously did his research right down to the medical exams and equipment questions and puzzles They are all there at the museum Even the wedding pictures and the review board room  Factually correct Anyone who has immigrant grandparents should see this movie Inspirational to say the least,positive
POSSIBLE SPOILERS AHEADbr br Ill only say what hasnt already been said here and Ill continue this for the rest of my WWFWWE commentsbr br If youre going to have a Womens title match at least make it interesting rather than just a squash to put over the current champion I guess Moolah couldnt handle an intense match but they wanted to have the legend in a WrestleManiabr br I thought the Killer Bees were wasted in WrestleManias especially here I became a fan in 1989 about a year after the B Brian Blair was gone and Jim Brunzell became a canvas back So I didnt realize for a while that they were a top tag team even top contendersbr br But I loved seeing Bill Fralic in the battle royal He really came into his own here creating a cocky heel character in a prematch interview and even making an elimination in the battle royal Besides Steve McMichael and Kevin Greene he is the only professional athlete from my generation with any respect for wrestling anyone remember Dennis Rodman And what was with the Hart Foundations ridiculous green tights,negative
From the first 10 seconds of Pitch Black I was hooked I had walked into this movie thinking that it would be just another cheesy scifi movie Instead I found a highly entertaining on the edge of your seat thought provoking action film The movie goes beyond your basic special effects flick The actors are amazing Radah Mitchell High Art Love and other as Fry is truly a joy to watch on screen while Vin Diesel as Riddeck is so captivating that you are dying just to hear him speak againbr br The look of the movie is breath taking the contrast of blues yellows and oranges due to the three different suns is amazing Followed by the complete darkness of nightfall I would truly recommend any lover of the ALIEN movies or Radha Mitchell which is why I went to see it to check out this film Im sure by the end youll look at the dark in a whole new way,positive
You gotta love the spaghetti western universe The vision of a west where good guys get shot point blank with no warning cartoonish villains chew the scenery in extreme closeups and the antihero walks away from the girl in the end A lot of people call Corbuccis films depressing I find that a bit dodgy as far as descriptions go I think bleak and unforgiving are more apt mostly because depressing suggests a level of sentimentality almost every Eurowestern director ignored in favour of painting characters in broad strokesbr br GLI SPECIALISTI must be seen in all its widescreen glory before it can take its proper place in the Sergio Corbucci canon Its a beautiful movie And it makes sense that Corbucci wanted to blow off some steam with COMPANEROS after the unremitting one two punch of THE GREAT SILENCE and this although he would later revert back to his usual tricks with the foulmouthed SONNY AND JED Theres still a certain amount of caricature that detracts from the overall grimness of the movie imo it hurts more than does any good to have a needless inclusion of three kids dressed like hippies skulking around town in search of gold and trouble And it hurts to have Mario Adorf playing Mexican onehanded bandit El Diablo as over the top as he always plays his charactersbr br Those minor gripes aside theres more than enough here to wet the palate of the spaghetti aficionado Shootouts galore the population of an entire town reduced to crawling naked in the dirt the typical iconic badassitude of the laconic antihero played by Johnny Halliday the moral bankruptcy of almost every character in the movie Corbucci might never receive the acclaim of the more famous Sergio or the American patriarchs of the genre but you and I know thats a gross injustice for a very talented director His dynamic shot selection in depth staging with objects sticking close to the camera and receding in the background his flair for quick pacing and feverish energy in moving a story that wasnt always all that along the way he photographs open spaces everything in his work makes me sure that if Corbucci was American and had emerged 15 years later along with Mann and Hawks the Cahiers du Cinema critics would have lauded him as an auteur worthy of serious critical consideration,positive
I rented this movie this past weekend cranked up the surround sound system and got some great sound from special affects This movie is a great movie rental the special affects where enough to scare my fiance but I noticed some looked suprisingly computer generated I didnt go to the movies and see this but its a scary late night dont feel like going out movie I would recommend it,positive
This film is a variation of a theme weve all seen over and over again  the Posiedan adventure in Space The characters are all stock characters  feisty heroine Judas coward etc etc The only question really is whos next to snuff it Sometimes this tried and tested formula works  like in this case  but more often not  like the truly mindnumbing Red Planet br br So why does this one work Because its stylish The acting is above average And above all it isnt predictable The conclusion isnt signposted I really had no idea how it would all end and was surprised at how it did end That alone deserves top marks in my bookbr br Its an intriguing and entertaining movie And though it was never likely to change the face of cinema as we know it it doesnt disappoint,positive
One of the many speculations about Y2K was that the world was going to end at the stroke of midnight on December 31 1999 In The Book Of Life writerdirector Hal Hartley takes a look at the possible ramifications of a new millennium Armageddon beginning with the return of Jesus to Earth on New Years Eve 99 The story examines the task of the Son of God who must open the remaining three of the seven seals contained in the Book of Life now contained in a Mac laptop computer in which there is also the names of the onehundred and fortyfour thousand good souls who will be spared on the last day Jesus Martin Donovan along with Magdalena PJ Harvey arrives in New York City to make the preparations necessary for carrying out his Fathers will but he begins to have second thoughts must he judge the living and the dead Do they deserve what must befall them It is a cup He would prefer not to embrace at this particular moment which gives encouragement to Satan Thomas Jay Ryan who fears that the fruit of all his hard labor is about to be washed away at midnight for he can only continue his work so long as there are people around who cling to their pitiful hopes and dreams An artistically rendered high concept film Hartley presents the story in an intelligent thought provoking manner taking great care in dealing with the sensitive subject matter so as to make it inoffensive even to the most ardent fundamentalist The dialogue between Jesus and Satan is intriguing and stimulating as is the effect of their presence upon those they encounter during their corporeal stay in the city Its an engrossing meditation on the spiritual side of Mans fragile existence and a contemplation of that which has been prophesied in the Revelations of St John in the Apocalypse the last Book of the New Testament And there is logic in Hartleys approach to the Second Coming he maintains the aesthetic of the contemporary setting while employing altered film speeds which visually give the film an ethereal quality Christ inconspicuously wears a suit and tie effectively blending in with the populace while Satans attire is a bit more casual his appearance somewhat scruffy he sports a bruise above his left eye Donovan is well cast as Jesus lending a benevolent mien and a sense of restrained urgency to his character that is very effective It is of course a unique portrayal of The Saviour and possibly the best since Max von Sydows in The Greatest Story Ever Told He successfully conveys a feeling of inner peace and tranquility of serenity that is the essence at the very core of the character And Ryan is thoroughly engaging in his role of the Prince of Darkness he has a distinct manner of speech and a resonant quality to his voice that make him absolutely mesmerizing to watch His eyes are darkly penetrating a trait he uses effectively with furtive glances and captivating stares Hes the guy who could sell you anything in exchange for your soul before you ever knew what hit you Its a memorable performance that contrasts so well with Donovans portrayal of Jesus The supporting cast includes Martin Pfeffercorn Martyr Miho Nikaido Edie Dave Simonds Dave DJ Mendel Lawyer James Urbaniak True Believer Katreen Hardt Lawyers Assistant and Anna Kohler Hotel Clerk In his own inimitable style with The Book Of Life Hartley has crafted a perspective of the last days that is interesting entertaining and truly unique He has a way of capturing life as it is just off center a method which works especially well with a film like this Comparatively short for a feature film running time of 63 minutes it nevertheless is one of Hartleys best and more than worth the price of admission Its a film that will stay with you and perhaps make you think about some things you may have tucked away in a corner of your mind for later And that is part of the attraction of this film it makes you realize that later most likely is now I rate this one 910,positive
This 1986 ItalianFrench remake of the 1946 film of the same name turns up the heat early and doesnt let us come up for air The story is about a highschool student Federico Pitzalis who cant keep his eyes off the mysteriously beautiful young woman played by Dutch phenom Maruschka Detmers who lives next door to the school One day he follows her and his persistence pays off Theres only one problem Shes engaged to a sketchy character Riccardo De Torrebruna who may or may not have committed a heinous crime and if he repents will probably be let off with a slap on the wrist Also the young woman is a little funny in the head and this is corroborated when we discover she has been seeing the boys father who is a psychiatrist Giulias emotional instability is only equalled by her prodigious sexual desires Hot hot hot from the word go with handsome leads and a bombshell performance from Detmers who plays us like a yoyo as she does the boy from scene to scene with enough suspense to keep us guessing right up untiland even afterthe end Available in R and X  rated versions,positive
Four Daughters begins as just another clone of Little Women type melodrama A single father with four musically talented eligible daughters has his hands full trying to keep them in line and guide them in their courting rituals What turns the film around is the sudden appearance of a new Hollywood star some critics say the first antihero long before James Dean graced the big screen From the time the dark foreboding figure of Mickey Borden John Garfield appears at Ann Lemps Priscilla Lane gate splashing his selfpity and doomed philosophy on the rest of the cast Four Daughters becomes much more than just a chick flickbr br Though Garfield is the main reason to watch Four Daughters there are other flashes of brilliance to enjoy Hungarianborn director Michael Curtiz later responsible for such gems as Casablanca and Mildred Pierce pinpoints certain images with his camera aided by cinematographer Ernest Haller of Rebel Without A Cause fame that sticks in the viewers mind for example the screeching gate that Anns first suitor Felix Deitz Jeffrey Lynn swings on so merrily becomes symbolic of the shifts in moods and affections by those who use itbr br That Garfield delivers the standout performance is obvious but the rest of the cast keeps up with him most of the way The underrated Jeffrey Lynn plays his role to perfection as the neglected suitor whose love for his cherished Ann never falters even when shes with another man Claude Rains somewhat miscast as the father of the four comingofage young women gives a fine portrayal of a set upon doting family head who gets lost in the shuffle The three Lane Sisters already famous for their musical abilities turn into accomplished actresses playing their parts well A raft of supporting actors including Dick Foran Frank McHugh May Robson and Eddie Acuff makes it all believablebr br How opposites attract is part of the ploy for touching the quick of the viewers imagination Ann is the eternal optimist even when she and Mickey are down and out She always looks on the bright side and like so many caught in the pliers of the Great Depression in those days she saw prosperity just around the corner Mickey recites an entire list of bad things that have happened to him seeking company in his misery from Ann which Ann refuses to do Mickey expects to go out with a bolt of lightning striking him dead as he rounds the corner of life Mickey has meager talent as a composer Ann has talent to spare as a singer and musician Ann is big on beauty Mickey is big on personality in a warped sense of a way And the differences go on and on How all this is reconciled in the end is an important part of the movie not to be missedbr br See Four Daughters for John Garfields doozy of an acting debut on the big screen The only time he was better came seven years later when he again mesmerized the film goers with one of the greatest screen performances ever as Frank Chambers in The Postman Always Rings Twice opposite the equally charismatic Lana Turner But also watch Four Daughters to catch important elements that may be missed if too much concentration is placed on the star of the show,positive
I wouldnt give this movie a rating its not worthy I watched it only because Im a Pfieffer fan I love her and would watch anything she made Even in this dud she didnt disappoint Every scene with her in it kept the viewer watchingwaitingfor something to happen but nothing ever did It had some good story lines but they ended abruptly as soon as it started Some of the other characters had potential but nothing became of itbr br Pfieffer was 29 when she made this film and at her most lovely The wardrobe and set was surprisingly good br br I can watch mostly anything and rarely come across a movie I cant find something to like about it but this was a dud I dont understand br br The worst thing about it all it had a big cliff hanger at the end It had an ending scene that woke you up and say wow this film is finally going some place then the credits roll Good grief br br I agree with the review that said 99 would have bought 3 cans of cat food and watching my cat eat would have been more exciting Well said Actually that comment was more entertaining than the film because it sums it up so well I too wasted 99 cents on this dudduddud,negative
The movie within the movie  a concept done many times in the history of cinema It is accomplished here as well as in anybr br If you love Carmen youll love this versionbr br If you love flamenco youll love this versionbr br The plot of the classic opera is played out in the actual rehearsal of the opera by a flamenco troupe The music is authentic The direction wonderfulbr br If you like dancing youll love this versionbr br There is tragedy There is passion There is intriguebr br There isbr br Carmen,positive
Formulaic slasher film only this one stars three ten year olds all born during a lunar eclipse as the killers Nice huh A little bit of gore and a nice nude scene may make this worthwhile for diehard fans of the genre others bewarebr br 12 out of ,negative
After starting watching the reruns of old Columbo movies I thought they would all get about the same vote from me 6 But apparently Im now starting to see differences in the movies It happened in some of just previous episodes that showed some pretty genius directing and it shows in this one but in the negative waybr br The movie was so boring that I sometimes found myself occupied peaking in the paper instead of watching never happened during a Columbo movie before and sometimes it was so embarrassing that I had to look away The directing seems too pretentious The scenes with the ohsomature neighbourgirl are a misplace And generally the lines and plot is weaker than the average episode Then scene where they debated whether or not to sack the trumpeter who falsely was accused for the murder is pure horror really stupidbr br Some applause should be given to the prelude however In this episode a lot of focus is given on how the murderer tries to secure his alibi and hide the evidence etc I really liked that But alas no focus on how Columbo reveals all this And the proof that in the end leaves Columbo victorious is the silliest everbr br Rating lies between 4 and 5,negative
The coming attractions to The Order make it seem like a decent horror mysterythriller but what we get is a plot that has potential to be excellent all thrown together to form a pile of garbagebr br First off the whole movie consists of terrible dialogue and god awful special affects The acting was also nothing to be proud of but Keath Ledger I think I spelled that right saved the movie in this categorybr br For heavens sake DONT SEE THIS MOVIE,negative
